"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.438,0.157,99.311,0.094,0.0,0.0,11280977920.0,408686592.0,11981717504.0,43841220608.0,660.0,438.0,0.0,253952.0,1438059105.451,0.0,12.0
0.595,0.157,98.622,0.627,0.0,0.0,11280007168.0,408686592.0,11981717504.0,43842191360.0,134.0,438.0,0.0,7618560.0,1438059106.451,0.0,166.0
0.501,0.125,99.311,0.063,0.0,0.0,11280412672.0,408686592.0,11981742080.0,43841761280.0,134.0,438.0,0.0,114688.0,1438059107.451,0.0,9.0
0.407,0.188,99.343,0.063,0.0,0.0,11279392768.0,408686592.0,11981746176.0,43842777088.0,134.0,438.0,0.0,229376.0,1438059108.451,0.0,16.0
0.785,0.345,98.650,0.188,0.0,0.031,11280850944.0,408686592.0,11981746176.0,43841318912.0,194.0,438.0,0.0,98304.0,1438059109.451,0.0,12.0
0.376,0.125,99.467,0.031,0.0,0.0,11279900672.0,408686592.0,11981746176.0,43842269184.0,322.0,438.0,0.0,32768.0,1438059110.451,0.0,3.0
0.377,0.094,99.467,0.063,0.0,0.0,11279687680.0,408686592.0,11981754368.0,43842473984.0,2641.0,2035.0,0.0,28672.0,1438059111.451,0.0,3.0
0.626,0.125,99.155,0.094,0.0,0.0,11278909440.0,408686592.0,11981754368.0,43843252224.0,262.0,438.0,0.0,36864.0,1438059112.451,0.0,6.0
0.438,0.188,99.374,0.0,0.0,0.0,11278934016.0,408686592.0,11981758464.0,43843223552.0,134.0,438.0,0.0,8192.0,1438059113.451,0.0,2.0
0.469,0.219,99.249,0.063,0.0,0.0,11278856192.0,408686592.0,11981758464.0,43843301376.0,134.0,438.0,0.0,28672.0,1438059114.451,0.0,3.0
0.781,0.375,98.625,0.219,0.0,0.0,11278417920.0,408686592.0,11981766656.0,43843731456.0,134.0,438.0,0.0,32768.0,1438059115.451,0.0,3.0
0.471,0.157,98.902,0.471,0.0,0.0,11277180928.0,408686592.0,11981774848.0,43844960256.0,134.0,438.0,0.0,7319552.0,1438059116.451,0.0,150.0
0.408,0.094,99.467,0.031,0.0,0.0,11276476416.0,408686592.0,11981774848.0,43845664768.0,134.0,438.0,0.0,20480.0,1438059117.451,0.0,3.0
0.345,0.125,99.530,0.0,0.0,0.0,11277524992.0,408686592.0,11981774848.0,43844616192.0,134.0,438.0,0.0,16384.0,1438059118.451,0.0,2.0
0.910,0.314,98.651,0.125,0.0,0.0,11277676544.0,408686592.0,11981774848.0,43844464640.0,134.0,438.0,0.0,53248.0,1438059119.451,0.0,6.0
1.221,0.282,98.372,0.125,0.0,0.0,11278348288.0,408686592.0,11981774848.0,43843792896.0,4292.0,94982.0,0.0,90112.0,1438059120.451,0.0,9.0
4.513,0.971,92.698,1.724,0.0,0.094,11279998976.0,408686592.0,11981783040.0,43842134016.0,39463.0,18337.0,0.0,1232896.0,1438059121.451,0.0,99.0
4.799,0.847,92.911,1.349,0.0,0.094,11276111872.0,408686592.0,11981836288.0,43845967872.0,32022.0,15522.0,0.0,1454080.0,1438059122.451,0.0,110.0
4.731,0.783,93.045,1.253,0.0,0.188,11275694080.0,408686592.0,11981881344.0,43846340608.0,37299.0,18154.0,0.0,1404928.0,1438059123.451,0.0,109.0
4.360,0.596,93.632,1.349,0.0,0.063,11275632640.0,408686592.0,11981922304.0,43846361088.0,26781.0,13126.0,0.0,1257472.0,1438059124.451,0.0,95.0
